Date,Standard,Taiko,CtB,Mania
2020-11-26,7081,2414,1425,4809
2020-11-27,7087,2419,1428,4812
2020-11-28,7088,2421,1430,4813
2020-11-29,7090,2423,1431,4815
2020-11-30,7091,2426,1431,4815
2020-12-01,7092,2428,1431,4816
2020-12-02,7093,2431,1433,4818
2020-12-03,7094,2433,1435,4818
2020-12-04,7095,2436,1436,4820
2020-12-05,7096,2438,1437,4823
2020-12-06,7098,2440,1438,4824
2020-12-07,7099,2444,1438,4826
2020-12-08,7100,2446,1440,4827
2020-12-09,7102,2448,1441,4827
2020-12-10,7104,2450,1443,4829
2020-12-11,7105,2453,1443,4829
2020-12-12,7107,2454,1445,4831
2020-12-13,7108,2457,1445,4832
2020-12-14,7111,2460,1446,4833
2020-12-15,7112,2462,1447,4834
2020-12-16,7114,2464,1447,4836
2020-12-17,7116,2465,1448,4838
2020-12-18,7117,2465,1450,4839
2020-12-19,7118,2468,1451,4840
2020-12-20,7119,2471,1452,4843
2020-12-21,7120,2474,1453,4843
2020-12-22,7122,2475,1453,4844
2020-12-23,7123,2478,1453,4847
2020-12-24,7127,2480,1454,4847
2020-12-25,7129,2483,1456,4848
2020-12-26,7131,2485,1457,4849
2020-12-27,7133,2488,1458,4850
2020-12-28,7135,2491,1459,4852
2020-12-29,7136,2492,1461,4854
2020-12-30,7137,2495,1461,4856
2020-12-31,7139,2498,1463,4859
2021-01-01,7140,2500,1463,4861
2021-01-02,7142,2501,1463,4863
2021-01-03,7146,2503,1465,4864
2021-01-04,7148,2504,1466,4865
2021-01-05,7149,2507,1467,4866
2021-01-06,7150,2509,1468,4868
2021-01-07,7154,2511,1469,4870
2021-01-08,7154,2513,1469,4871
2021-01-09,7156,2515,1470,4875
2021-01-10,7159,2517,1471,4876
2021-01-11,7159,2519,1473,4876
2021-01-12,7161,2520,1473,4877
2021-01-13,7163,2524,1474,4878
2021-01-14,7165,2525,1475,4878
2021-01-15,7166,2526,1476,4882
2021-01-16,7061,2528,1477,4885
2021-01-17,7068,2531,1478,4886
2021-01-18,7071,2532,1480,4888
2021-01-19,7075,2535,1480,4890
2021-01-20,7078,2535,1482,4892
2021-01-21,7081,2536,1482,4894
2021-01-22,7083,2539,1483,4895
2021-01-23,7086,2540,1484,4897
2021-01-24,7089,2540,1486,4899
2021-01-25,7092,2543,1487,4902
2021-01-26,7093,2545,1488,4903
2021-01-27,7095,2547,1488,4904
2021-01-28,7096,2549,1490,4905
2021-01-29,7099,2551,1490,4907
2021-01-30,7101,2552,1491,4908
2021-01-31,7103,2553,1491,4909
2021-02-01,7107,2554,1493,4912
2021-02-02,7111,2556,1493,4915
2021-02-03,7112,2558,1495,4917
